time,open,high,low,close,vol,%,id,timestamp
0.092,0.105,0.092,0.105,47557.265,None,0,2010-10-13 00:00:00,
0.1045,0.1045,0.09781739,0.102,37217.28,-2.86,1,2010-10-14 00:00:00,
0.1,0.1171692,0.09508294,0.105,24643.334,2.94,2,2010-10-15 00:00:00,
0.1,0.10299000000000001,0.1,0.10099999999999999,6284.7080000000005,-3.81,3,2010-10-16 00:00:00,
0.102,0.1045,0.10001,0.102,18222.191000000003,0.99,4,2010-10-17 00:00:00,
0.10300000000000001,0.10300000000000001,0.09968111,0.1024,25665.087000000003,0.39,5,2010-10-18 00:00:00,
0.1,0.1018,0.09706246,0.09706246,6235.1,-5.21,6,2010-10-19 00:00:00,
0.0985,0.10180516,0.094,0.099,31855.0,2.0,7,2010-10-20 00:00:00,
0.0972,0.107,0.0971,0.107,44867.0,8.08,8,2010-10-21 00:00:00,
0.1015,0.109,0.1015,0.10378125,34603.909,-3.01,9,2010-10-22 00:00:00,
0.10892846,0.109,0.104995,0.104995,4423.469,1.17,10,2010-10-23 00:00:00,
0.10800000000000001,0.19,0.10800000000000001,0.11500999999999999,13800.23,9.54,11,2010-10-24 00:00:00,
0.10499663,0.1707151,0.09009,0.132,30299.635,14.77,12,2010-10-25 00:00:00,
0.133,0.179,0.133,0.1503,19219.125,13.86,13,2010-10-26 00:00:00,
0.151,0.19,0.151,0.1877,65605.872,24.88,14,2010-10-27 00:00:00,
0.1845,0.19004863,0.1731,0.1731,21525.035,-7.78,15,2010-10-28 00:00:00,
0.17991525,0.19,0.17300000000000001,0.19,28686.852000000003,9.76,16,2010-10-29 00:00:00,
0.18754379999999998,0.1989,0.18754379999999998,0.1989,26708.94,4.68,17,2010-10-30 00:00:00,
0.19399999999999998,0.1989,0.18899999999999997,0.1925,40337.756,-3.22,18,2010-10-31 00:00:00,
0.1925,0.1951,0.17493601,0.19490179,21258.611,1.25,19,2010-11-01 00:00:00,
0.192,0.1938,0.1905,0.1938,5853.394,-0.57,20,2010-11-02 00:00:00,
0.19389309,0.26425961,0.13,0.1931,61472.627,-0.36,21,2010-11-03 00:00:00,
0.19889482,0.23601,0.1934,0.23,29698.431,19.11,22,2010-11-04 00:00:00,
0.2101,0.26039,0.2101,0.26039,36622.072,13.21,23,2010-11-05 00:00:00,
0.262,0.49,0.24031,0.38,32756.129,45.93,24,2010-11-06 00:00:00,
0.43436256,0.4399,0.3002,0.34,77218.719,-10.53,25,2010-11-07 00:00:00,
0.3459,0.36796109,0.24243853,0.243,118203.82699999999,-28.53,26,2010-11-08 00:00:00,
0.251,0.32297265,0.2,0.21568652,47983.393,-11.24,27,2010-11-09 00:00:00,
0.21000625,0.235271,0.14045455,0.23266833,30387.028,7.87,28,2010-11-10 00:00:00,
0.2299,0.24,0.21300769,0.2231,5031.88,-4.11,29,2010-11-11 00:00:00,
0.2289,0.27973381,0.22301423,0.2682,40720.385,20.22,30,2010-11-12 00:00:00,
0.28598775,0.2999942,0.2683,0.276,21915.572999999997,2.91,31,2010-11-13 00:00:00,
0.276,0.299,0.2702,0.27904,16844.327,1.1,32,2010-11-14 00:00:00,
0.27904,0.2828,0.2682,0.2682,8507.74,-3.88,33,2010-11-15 00:00:00,
0.2683,0.275,0.22411905,0.22411905,33931.012,-16.44,34,2010-11-16 00:00:00,
0.223,0.28562776,0.2116,0.24297713,32871.602,8.41,35,2010-11-17 00:00:00,
0.2221,0.28185714,0.2221,0.2678,37446.671,10.22,36,2010-11-18 00:00:00,
0.2683,0.28,0.2682,0.27692909,2157.562,3.41,37,2010-11-19 00:00:00,
0.27999523,0.29,0.26825,0.28407491,14652.694,2.58,38,2010-11-20 00:00:00,
0.27631,0.28054545,0.27631,0.27675,765.0,-2.58,39,2010-11-21 00:00:00,
0.27679000000000004,0.28479187,0.26899999999999996,0.28479187,28205.85,2.91,40,2010-11-22 00:00:00,
0.28210085,0.28449,0.27808895,0.28295,4856.923,-0.65,41,2010-11-23 00:00:00,
0.28295,0.28295145,0.2761,0.28295145,2514.9120000000003,0.0,42,2010-11-24 00:00:00,
0.2825,0.2825,0.278,0.28,1679.595,-1.04,43,2010-11-25 00:00:00,
0.27802772,0.28663807,0.27659667,0.2844,33531.876000000004,1.57,44,2010-11-26 00:00:00,
0.2844,0.2844,0.28255,0.28300000000000003,1825.388,-0.49,45,2010-11-27 00:00:00,
0.28300000000000003,0.28461,0.27107203,0.27107203,20802.126,-4.21,46,2010-11-28 00:00:00,
0.27899999999999997,0.27899999999999997,0.22109,0.23047273,35055.403,-14.98,47,2010-11-29 00:00:00,
0.2299,0.2299,0.20420986,0.2082,21476.251,-9.66,48,2010-11-30 00:00:00,
0.2095,0.2279,0.2095,0.2275,8157.894,9.27,49,2010-12-01 00:00:00,
0.228,0.255,0.218,0.255,20312.234,12.09,50,2010-12-02 00:00:00,
0.25,0.2552,0.243,0.25105,2570.345,-1.55,51,2010-12-03 00:00:00,
0.255,0.25880808,0.205,0.20583222,28560.716,-18.01,52,2010-12-04 00:00:00,
